XML_ID|AMOUNT
5742532|26
10066960|68
10613111|543
10064365|473
14368830|143
12866982|18
12662739|20
14376115|42
1693542|2705
246071|37
5582501|46
6440631|87
1312923|1560
143655|44
6086266|21
5740290|213
6380037|972
10725742|10
144847|42
241391|35
2525217|10
5534148|46
6210126|228
7301590|111
10494033|19
9735258|43
11475452|33
14009265|23
4989954|205
6935031|146
9740402|32
9759088|163
13470247|38
12471913|103
14456559|15
1864692|14900
6916139|118
9735472|19
12614753|181
12414184|14
12016619|1057
13719647|1347
432430|27
449862|30
9739082|58
9513379|253
832264|28
989848|6
5362988|1040
439308|102
233765|90
147612|1683
246727|60
1018312|172
9817695|1644
8774139|5
6722269|38
10498570|16
10200607|57
10025564|42
9973491|407
250484|1858
4631571|95
5370113|36
6889990|185
7797823|126
9963511|17
10430539|19
10713492|74
11447106|46
11687315|149
14329559|599
141937|13
9762279|29
12635551|46
1799848|41
4277397|301
11746826|170
10468995|58
1065071|167
5783156|1825
6349045|97
10457012|5
10638410|35
12290979|160
12857202|32
142044|4199
3473032|29
4530000|25
9680582|594
6338362|191
6484172|44
10767855|10
9596114|17
9742001|122
142949|424
926616|155
250397|13
6307353|632
7928047|279
10869712|22
10327907|81
10731059|29
10429579|76
10430596|10
233377|75
5139332|19
5474584|199
6699457|37
9892348|136
10221618|78
9690286|45
9883217|635
10340295|127
142567|304
232611|3
2783719|22
12164367|72
11092692|2105
244535|680
7387502|1399
8768316|13
9789780|26
10171658|316
10927502|241
243199|110
235787|88
372402|74
2165273|673
4491834|110
5252418|23
5237249|64
7387574|39
10186765|17
6310109|54
10494991|31
10434733|12
10435677|16
12635497|236
1304142|200
234261|29
144786|82
146232|24
2694497|1293
9573618|2632
11752248|135
13196876|3
1729345|27
250805|792
1373263|652
240368|19
4517988|3368
5403661|21
12818821|17
6132578|885
9738554|14
10461978|93
12361491|73
12227945|28
11644608|17
146650|54
5122356|22
9735753|40
9689548|234
13078788|151
5370114|108
6255524|871
7638135|10
10404108|303
10032666|36
432212|124
2121398|64
6212062|1141
7363441|93
14436422|3
13291513|31
141652|165
706570|37
5383015|49
5137493|319
11599485|10
10991032|200
14340349|129
244577|304
531241|30
232302|113
239314|136
4505592|338
5000310|20
4624061|151
9055905|37
10569493|107
12660581|59
13067371|21
395414|177
5357008|55
5889944|206
9770013|13
14472851|32
251555|33
251197|811
249774|552
906088|860
4932930|10
6502172|31
9737101|76
9671117|25
9764668|52
10725751|31
10689052|3
144284|1510
1063078|151
6329644|267
6910887|114
7745130|6
10693160|21
9759468|36
12382430|251
13184076|16
13884915|6
1458134|34
2594884|97
2373357|53
5241045|73
5395445|318
10472276|102
12180001|96
14343551|18
147181|2076
147272|64
356170|179
2166492|2136
3991493|22
5354101|377
10180994|64
10737400|16
14241403|20
239971|14
2171798|88
9678611|27
10416304|4
14444075|11
405001|59
6930268|68
10033206|28
143939|61
142670|495
235933|323
6235306|527
12504976|85
10536335|32
13110885|14
13633912|4
949897|11
4226953|80
4731891|1101
5412370|6
5826025|119
147232|562
234035|19
145721|551
2878901|80
2296806|131
6582999|33
2122186|71
2301246|22
8668452|98
9575203|14
10725757|37
10431602|47
147073|953
6145855|92
6908544|78
9613243|7
10439893|65
13303781|34
14329400|361
1458135|49
4339369|26
3945321|1
4344623|12
6881086|132
6779436|7
6419703|21
10133479|145
14497427|143
1266912|5976
243190|12
1551216|158
250374|112
2118241|159
978933|31
5604556|514
5970903|70
9146945|44
10630195|5
147462|19
240469|26
4850144|229
6270033|138
7111417|66
10120569|12
10216198|7
250191|169
142249|73
142967|1073
241248|441
243178|173
146339|58
12525154|3
11103904|483
14347862|158
842078|221
7651304|10
9735699|59
9752573|30
11570271|22
10553945|19
464251|1891
1081724|1352
1016288|140
9596108|22
147179|78
143922|23
397776|14
9735799|10
9689989|61
13852336|11
1805704|345
3278504|20
4011880|3023
10216507|11
10727229|34
10429578|84
10430526|24
10430542|38
142834|1195
144651|81
2315370|100
9690622|21
10774232|1078
9690291|260
12209525|37
10034375|14
10385661|50
244109|47
9487872|42
12466821|50
14494963|10
5107298|1144
5341207|55
7704922|7
12471914|135
4582527|28
13180464|16
145274|1407
3869403|25
7880605|313
10229462|10
14410794|158
14335853|7
4831508|309
7206604|11483
1463337|44
147327|1714
798781|100
5273430|49
5894839|1299
9761278|13
10033207|134
13037775|2395
14396525|106
143972|47
144950|1679
6638062|2385
6833150|131
9750437|43
700860|154
1038495|238
5359004|25
5411364|23
10327904|92
10553947|205
145099|167
1090136|28
5596581|483
7935316|19
10779642|94
239225|135
2827844|353
8768317|46
6432552|494
6982940|14
9747868|262
11696132|47
146218|484
141881|112
1888415|104
4300399|6
5967092|487
3651626|14
6839677|66
7302896|26
10063698|145
147551|2083
376792|11
1040640|49
5252408|172
1323827|119
4913088|1049
9735318|37
9756621|19
12953775|10
14486238|5
240955|1635
2326293|18
9745505|27
11346772|4023
14079877|65
146544|137
2327920|283
832259|77
2874474|32
13364845|85
5312315|33
9867582|50
11103906|452
737006|6
2372917|27
2318832|21
6271279|192
9680622|466
10848314|50
13578174|2839
144019|5898
644437|42
2576610|737
9720176|60
9689995|212
13677549|486
237294|315
5043832|248
6974781|34
1732609|21
11967151|3438
13606931|40
14012393|28
1338266|34
2779724|264
5818746|44
4438662|93
4946923|24
5846191|8
8673511|105
758427|65
5322059|1099
12198517|567
10391396|11
12996087|19
13691213|33
8024487|11
9745535|722
9810654|11
1707745|147
2797476|154
9676933|48
8414730|345
11984889|26
1550951|136
244158|63
660394|1093
3991487|553
5273450|105
4485440|25
6543359|336
6164714|70
7178042|107
11527870|23
10033230|15
782511|25
10032641|68
11440713|10
13543723|24
